"Classification","Description","AAL"
"COM_ARCHITECT","Attached screen",318.84301455102
"COM_ARCHITECT","Detached screen",321.994789755102
"COM_ARCHITECT","Fences",316.682371632653
"COM_ARCHITECT","None",314.765823673469
"COM_ARCHITECT","Skylights",317.019040306122
"COM_ARCHITECT","Skylights protection",318.87430555102
"COM_CLADRATE","10d high wind nail",270.892592816327
"COM_CLADRATE","6d any nail",272.170809510204
"COM_CLADRATE","8d high wind nail",270.017166591837
"COM_CLADRATE","8d minimum nail",270.82245777551
"COM_CLADRATE","Batten decking",274.20987522449
"COM_CLADRATE","Lumber and groove",274.466282673469
"COM_CLADSYS","Brick veneer",518.546896183673
"COM_CLADSYS","Concrete block",513.871738
"COM_CLADSYS","EIFS",513.214935591837
"COM_CLADSYS","Impact rated glazing",516.674857306122
"COM_CLADSYS","Metal sheathing",518.180404265306
"COM_CLADSYS","Stucco",509.673025387755
"COM_CLADSYS","Vinyl siding",518.996850040816
"COM_CLADSYS","Wood",503.089208591837
"COM_CONSTQUALI","Signs of distress",401.181084102041
"COM_CONSTQUALI","WH Gold existing",394.947952469388
"COM_CONSTQUALI","WH Roof existing",406.143443571429
"COM_CONSTQUALI","WH Silver existing",403.179701326531
"COM_CONSTQUALI","Wind Gold existing",396.503255020408
"COM_CONSTQUALI","Wind Roof existing",402.69158644898
"COM_CONSTQUALI","Wind Silver existing",400.772853897959
"COM_EXTORN","Extensive ornamentation",312.739715142857
"COM_EXTORN","Extensive ornamentation and LPS",316.090240061225
"COM_EXTORN","Large signs",312.041590714286
"COM_EXTORN","Large signs and LPS",318.458906959184
"COM_EXTORN","Lightning protection",318.551121204082
"COM_FOUNDSYS","Bolted",477.04466477551
"COM_FOUNDSYS","Engineered",468.724671918367
"COM_FOUNDSYS","Unbolted",471.788689755102
"COM_GARAGING","Attached garage",465.71682422449
"COM_GARAGING","Detached garage",464.037680530612
"COM_GARAGING","No garage",459.770242510204
"COM_MECHGROUND","Generally protected",225.264768346939
"COM_MECHGROUND","Generally unprotected",231.161864714286
"COM_RESISTOPEN","All openings pressure large missile rated",384.589003897959
"COM_RESISTOPEN","All openings pressure medium missile rated",381.656317959184
"COM_RESISTOPEN","All openings pressure small missile rated",381.825577693878
"COM_RESISTOPEN","Pressure medium missile rated",389.941217836735
"COM_RESISTOPEN","Pressure small missile rated",393.813432040816
"COM_ROOFAGE","0 to 5 years",637.260032183674
"COM_ROOFAGE","11 years or more",642.62212177551
"COM_ROOFAGE","6 to 10 years",638.083938020408
"COM_ROOFANCH","Clips",228.381057346939
"COM_ROOFANCH","Double wraps",229.180449387755
"COM_ROOFANCH","Single wraps",229.315439102041
"COM_ROOFANCH","Structural",225.536959346939
"COM_ROOFANCH","Toenailing no anchorage",227.506693306122
"COM_ROOFEQUIP","No equipment present",317.294920571429
"COM_ROOFEQUIP","Roof mounted impact resistant array",319.470985734694
"COM_ROOFEQUIP","Roof mounted mechanically attached array",313.900195346939
"COM_ROOFEQUIP","Roof mounted photovoltaic array",318.287911714286
"COM_ROOFGEOM","Braced gable GT6:12",402.516119897959
"COM_ROOFGEOM","Braced gable LE6:12",408.02450122449
"COM_ROOFGEOM","Complex roof",401.851826428571
"COM_ROOFGEOM","Flat roof no parapets",405.987002918367
"COM_ROOFGEOM","Flat roof parapets",402.120667591837
"COM_ROOFGEOM","Gable roof GT6:12",399.611687591837
"COM_ROOFGEOM","Gable roof LE6:12",403.955991326531
"COM_ROOFGEOM","Hip roof GT6:12",405.59465644898
"COM_ROOFGEOM","Hip roof LE6:12",403.064489795918
"COM_ROOFMAINT","Excellent condition",226.62487455102
"COM_ROOFMAINT","No deterioration or defects",224.93404977551
"COM_ROOFMAINT","Significant signs of distress",224.524325979592
"COM_ROOFMAINT","Visible defects",224.223032081633
"COM_ROOFSYS","Bermuda style roof",402.261598816327
"COM_ROOFSYS","Built up or single ply",400.020753959184
"COM_ROOFSYS","Built up unknown gutters",398.227744632653
"COM_ROOFSYS","Built up with gutters",391.589535897959
"COM_ROOFSYS","Built up without gutters",393.168932530612
"COM_ROOFSYS","Concrete roof",403.352450877551
"COM_ROOFSYS","Concrete tiles",400.107136367347
"COM_ROOFSYS","Fabric membrane",400.838013693878
"COM_ROOFSYS","Green roof",400.074035795918
"COM_ROOFSYS","Hail class 1",398.827595367347
"COM_ROOFSYS","Hail class 2",398.399823734694
"COM_ROOFSYS","Hail class 3",397.197295571429
"COM_ROOFSYS","Hail class 4",400.354821408163
"COM_ROOFSYS","High wind shingle",393.77828455102
"COM_ROOFSYS","High wind shingle plus SWR",401.067516714286
"COM_ROOFSYS","Metal concealed fasteners",397.631123163265
"COM_ROOFSYS","Metal exposed fasteners",397.254852163265
"COM_ROOFSYS","Metal unknown fasteners",398.130347714286
"COM_ROOFSYS","Normal shingle",393.94824822449
"COM_ROOFSYS","Normal shingle plus SWR",398.960628183673
"COM_ROOFSYS","Rubber roof",394.807374428571
"COM_ROOFSYS","Slate tile",394.264151285714
"COM_ROOFSYS","Solar tile",399.305377612245
"COM_ROOFSYS","Wood shakes",395.693413
"COM_TODMGPROVISION","Cosmetic damage Default",495.238781428571
"COM_TODMGPROVISION","Cosmetic damage Excluded",497.856431591837
"COM_TODMGPROVISION","Cosmetic damage Fully covered",496.713845795918
"COM_TODMGPROVISION","Cosmetic damage Mostly covered",502.03547744898
"COM_TODMGPROVISION","Cosmetic damage Rarely covered",488.492812489796
"COM_TOFLASHING","Compliant with ES1",494.772763102041
"COM_TOFLASHING","Not compliant with ES1",487.605557142857
"COM_TREEDENSITY","High tree risk high shielding",269.607030469388
"COM_TREEDENSITY","No trees no shielding",267.617508040816
"COM_TREEDENSITY","Some trees some shielding",269.807152020408
"COM_Unknown","Unknown",453.768783938776
"SFD_ARCHITECT","Attached screen",502.279613510204
"SFD_ARCHITECT","Detached screen",505.670407897959
"SFD_ARCHITECT","Fences",506.821041693878
"SFD_ARCHITECT","None",512.323753959184
"SFD_ARCHITECT","Skylights",511.86044022449
"SFD_ARCHITECT","Skylights protection",511.214757897959
"SFD_CLADRATE","10d high wind nail",464.256658306122
"SFD_CLADRATE","6d any nail",462.03169722449
"SFD_CLADRATE","8d high wind nail",460.389021795918
"SFD_CLADRATE","8d minimum nail",463.031775204082
"SFD_CLADRATE","Batten decking",460.30551822449
"SFD_CLADRATE","Lumber and groove",465.151158632653
"SFD_CLADSYS","Brick veneer",474.632099510204
"SFD_CLADSYS","Concrete block",476.062237142857
"SFD_CLADSYS","EIFS",476.419180836735
"SFD_CLADSYS","Impact rated glazing",471.084346428571
"SFD_CLADSYS","Metal sheathing",488.106989795918
"SFD_CLADSYS","Stucco",472.641885612245
"SFD_CLADSYS","Vinyl siding",480.138263020408
"SFD_CLADSYS","Wood",473.526448571429
"SFD_CONSTQUALI","Signs of distress",416.591155469388
"SFD_CONSTQUALI","WH Gold existing",417.39675244898
"SFD_CONSTQUALI","WH Roof existing",417.985010326531
"SFD_CONSTQUALI","WH Silver existing",420.249743346939
"SFD_CONSTQUALI","Wind Gold existing",417.838825979592
"SFD_CONSTQUALI","Wind Roof existing",418.000275959184
"SFD_CONSTQUALI","Wind Silver existing",419.016021979592
"SFD_EXTORN","Extensive ornamentation",506.176117408163
"SFD_EXTORN","Extensive ornamentation and LPS",505.985100530612
"SFD_EXTORN","Large signs",502.816316122449
"SFD_EXTORN","Large signs and LPS",505.267381367347
"SFD_EXTORN","Lightning protection",515.531240734694
"SFD_FOUNDSYS","Bolted",475.465223877551
"SFD_FOUNDSYS","Engineered",475.817765
"SFD_FOUNDSYS","Unbolted",471.746828265306
"SFD_GARAGING","Attached garage",421.916579836735
"SFD_GARAGING","Detached garage",429.007010938776
"SFD_GARAGING","No garage",424.72109922449
"SFD_MECHGROUND","Generally protected",467.56885677551
"SFD_MECHGROUND","Generally unprotected",472.243545857143
"SFD_RESISTOPEN","All openings pressure large missile rated",485.343886959184
"SFD_RESISTOPEN","All openings pressure medium missile rated",480.32780255102
"SFD_RESISTOPEN","All openings pressure small missile rated",483.422266367347
"SFD_RESISTOPEN","Pressure medium missile rated",492.016622244898
"SFD_RESISTOPEN","Pressure small missile rated",481.124756897959
"SFD_ROOFAGE","0 to 5 years",270.476068244898
"SFD_ROOFAGE","11 years or more",275.736046714286
"SFD_ROOFAGE","6 to 10 years",267.609053204082
"SFD_ROOFANCH","Clips",272.166944816327
"SFD_ROOFANCH","Double wraps",266.699637653061
"SFD_ROOFANCH","Single wraps",268.435704693878
"SFD_ROOFANCH","Structural",269.881454571429
"SFD_ROOFANCH","Toenailing no anchorage",272.816844163265
"SFD_ROOFEQUIP","No equipment present",637.023106571429
"SFD_ROOFEQUIP","Roof mounted impact resistant array",638.551232714286
"SFD_ROOFEQUIP","Roof mounted mechanically attached array",637.194172816326
"SFD_ROOFEQUIP","Roof mounted photovoltaic array",624.343497653061
"SFD_ROOFGEOM","Braced gable GT6:12",418.919905857143
"SFD_ROOFGEOM","Braced gable LE6:12",417.93776422449
"SFD_ROOFGEOM","Complex roof",415.070044387755
"SFD_ROOFGEOM","Flat roof no parapets",415.509853469388
"SFD_ROOFGEOM","Flat roof parapets",413.491032285714
"SFD_ROOFGEOM","Gable roof GT6:12",415.858582122449
"SFD_ROOFGEOM","Gable roof LE6:12",421.585573755102
"SFD_ROOFGEOM","Hip roof GT6:12",413.812644489796
"SFD_ROOFGEOM","Hip roof LE6:12",416.403768897959
"SFD_ROOFMAINT","Excellent condition",430.111321326531
"SFD_ROOFMAINT","No deterioration or defects",437.91462644898
"SFD_ROOFMAINT","Significant signs of distress",437.21968555102
"SFD_ROOFMAINT","Visible defects",434.95696277551
"SFD_ROOFSYS","Bermuda style roof",636.082794591837
"SFD_ROOFSYS","Built up or single ply",632.606802265306
"SFD_ROOFSYS","Built up unknown gutters",632.406103857143
"SFD_ROOFSYS","Built up with gutters",633.193677734694
"SFD_ROOFSYS","Built up without gutters",628.77788855102
"SFD_ROOFSYS","Concrete roof",642.437780653061
"SFD_ROOFSYS","Concrete tiles",633.985759693878
"SFD_ROOFSYS","Fabric membrane",637.658518979592
"SFD_ROOFSYS","Green roof",641.082274653061
"SFD_ROOFSYS","Hail class 1",624.004303346939
"SFD_ROOFSYS","Hail class 2",644.062018959184
"SFD_ROOFSYS","Hail class 3",639.817235571429
"SFD_ROOFSYS","Hail class 4",637.244661877551
"SFD_ROOFSYS","High wind shingle",647.818599693878
"SFD_ROOFSYS","High wind shingle plus SWR",629.197918734694
"SFD_ROOFSYS","Metal concealed fasteners",636.647513061224
"SFD_ROOFSYS","Metal exposed fasteners",639.562633938776
"SFD_ROOFSYS","Metal unknown fasteners",634.573109040816
"SFD_ROOFSYS","Normal shingle",636.729246204082
"SFD_ROOFSYS","Normal shingle plus SWR",628.832687102041
"SFD_ROOFSYS","Rubber roof",633.783550387755
"SFD_ROOFSYS","Slate tile",636.305268897959
"SFD_ROOFSYS","Solar tile",634.360734244898
"SFD_ROOFSYS","Wood shakes",632.981403795918
"SFD_TODMGPROVISION","Cosmetic damage Default",497.366315040816
"SFD_TODMGPROVISION","Cosmetic damage Excluded",487.636595693878
"SFD_TODMGPROVISION","Cosmetic damage Fully covered",493.106246632653
"SFD_TODMGPROVISION","Cosmetic damage Mostly covered",491.450418591837
"SFD_TODMGPROVISION","Cosmetic damage Rarely covered",488.774111897959
"SFD_TOFLASHING","Compliant with ES1",493.107490163265
"SFD_TOFLASHING","Not compliant with ES1",487.551116897959
"SFD_TREEDENSITY","High tree risk high shielding",585.994385020408
"SFD_TREEDENSITY","No trees no shielding",590.221928979592
"SFD_TREEDENSITY","Some trees some shielding",595.188055755102
"SFD_Unknown","Unknown",452.797025306122
