Classification,Description,HDv2
COM_ARCHITECT,Attached screen,318.8430146
COM_ARCHITECT,Detached screen,321.9947898
COM_ARCHITECT,Fences,316.6823716
COM_ARCHITECT,None,314.7658237
COM_ARCHITECT,Skylights,317.0190403
COM_ARCHITECT,Skylights protection,318.8743056
COM_CLADRATE,10d high wind nail,270.8925928
COM_CLADRATE,6d any nail,272.1708095
COM_CLADRATE,8d high wind nail,270.0171666
COM_CLADRATE,8d minimum nail,270.8224578
COM_CLADRATE,Batten decking,274.2098752
COM_CLADRATE,Lumber and groove,274.4662827
COM_CLADSYS,Brick veneer,518.5468962
COM_CLADSYS,Concrete block,513.871738
COM_CLADSYS,EIFS,513.2149356
COM_CLADSYS,Impact rated glazing,516.6748573
COM_CLADSYS,Metal sheathing,518.1804043
COM_CLADSYS,Stucco,509.6730254
COM_CLADSYS,Vinyl siding,518.99685
COM_CLADSYS,Wood,503.0892086
COM_CONSTQUALI,Signs of distress,401.1810841
COM_CONSTQUALI,WH Gold existing,394.9479525
COM_CONSTQUALI,WH Roof existing,406.1434436
COM_CONSTQUALI,WH Silver existing,403.1797013
COM_CONSTQUALI,Wind Gold existing,396.503255
COM_CONSTQUALI,Wind Roof existing,402.6915864
COM_CONSTQUALI,Wind Silver existing,400.7728539
COM_EXTORN,Extensive ornamentation,312.7397151
COM_EXTORN,Extensive ornamentation and LPS,316.0902401
COM_EXTORN,Large signs,312.0415907
COM_EXTORN,Large signs and LPS,318.458907
COM_EXTORN,Lightning protection,318.5511212
COM_FOUNDSYS,Bolted,477.0446648
COM_FOUNDSYS,Engineered,468.7246719
COM_FOUNDSYS,Unbolted,471.7886898
COM_GARAGING,Attached garage,465.7168242
COM_GARAGING,Detached garage,464.0376805
COM_GARAGING,No garage,459.7702425
COM_MECHGROUND,Generally protected,225.2647683
COM_MECHGROUND,Generally unprotected,231.1618647
COM_RESISTOPEN,All openings pressure large missile rated,384.5890039
COM_RESISTOPEN,All openings pressure medium missile rated,381.656318
COM_RESISTOPEN,All openings pressure small missile rated,381.8255777
COM_RESISTOPEN,Pressure medium missile rated,389.9412178
COM_RESISTOPEN,Pressure small missile rated,393.813432
COM_ROOFAGE,0 to 5 years,637.2600322
COM_ROOFAGE,11 years or more,642.6221218
COM_ROOFAGE,6 to 10 years,638.083938
COM_ROOFANCH,Clips,228.3810573
COM_ROOFANCH,Double wraps,229.1804494
COM_ROOFANCH,Single wraps,229.3154391
COM_ROOFANCH,Structural,225.5369593
COM_ROOFANCH,Toenailing no anchorage,227.5066933
COM_ROOFEQUIP,No equipment present,317.2949206
COM_ROOFEQUIP,Roof mounted impact resistant array,319.4709857
COM_ROOFEQUIP,Roof mounted mechanically attached array,313.9001953
COM_ROOFEQUIP,Roof mounted photovoltaic array,318.2879117
COM_ROOFGEOM,Braced gable GT6:12,402.5161199
COM_ROOFGEOM,Braced gable LE6:12,408.0245012
COM_ROOFGEOM,Complex roof,401.8518264
COM_ROOFGEOM,Flat roof no parapets,405.9870029
COM_ROOFGEOM,Flat roof parapets,402.1206676
COM_ROOFGEOM,Gable roof GT6:12,399.6116876
COM_ROOFGEOM,Gable roof LE6:12,403.9559913
COM_ROOFGEOM,Hip roof GT6:12,405.5946564
COM_ROOFGEOM,Hip roof LE6:12,403.0644898
COM_ROOFMAINT,Excellent condition,226.6248746
COM_ROOFMAINT,No deterioration or defects,224.9340498
COM_ROOFMAINT,Significant signs of distress,224.524326
COM_ROOFMAINT,Visible defects,224.2230321
COM_ROOFSYS,Bermuda style roof,402.2615988
COM_ROOFSYS,Built up or single ply,400.020754
COM_ROOFSYS,Built up unknown gutters,398.2277446
COM_ROOFSYS,Built up with gutters,391.5895359
COM_ROOFSYS,Built up without gutters,393.1689325
COM_ROOFSYS,Concrete roof,403.3524509
COM_ROOFSYS,Concrete tiles,400.1071364
