STATECODE,Classification,Description,HDv1
AL,COM_Unknown,Unknown,359.628763
AL,COM_ARCHITECT,Attached screen,270.428646
AL,COM_ARCHITECT,Detached screen,257.325514
AL,COM_ARCHITECT,Fences,276.71522
AL,COM_ARCHITECT,None,240.853922
AL,COM_ARCHITECT,Skylights,258.227943
AL,COM_ARCHITECT,Skylights protection,287.011133
AL,COM_CLADRATE,10d high wind nail,228.279982
AL,COM_CLADRATE,6d any nail,198.129966
AL,COM_CLADRATE,8d high wind nail,196.250107
AL,COM_CLADRATE,8d minimum nail,218.389821
AL,COM_CLADRATE,Batten decking,205.269508
AL,COM_CLADRATE,Lumber and groove,218.544772
AL,COM_CLADSYS,Vinyl siding,400.797631
AL,COM_CLADSYS,EIFS,451.636208
AL,COM_CLADSYS,Wood,392.752411
AL,COM_CLADSYS,Metal sheathing,424.659651
AL,COM_CLADSYS,Impact rated glazing,428.48376
AL,COM_CLADSYS,Stucco,436.0491
AL,COM_CLADSYS,Brick veneer,413.206454
AL,COM_CLADSYS,Concrete block,426.526457
AL,COM_CONSTQUALI,Signs of distress,309.430271
AL,COM_CONSTQUALI,WH Roof existing,334.732129
AL,COM_CONSTQUALI,Wind Roof existing,336.227953
AL,COM_CONSTQUALI,Wind Gold existing,317.244273
AL,COM_CONSTQUALI,Wind Silver existing,304.945983
AL,COM_CONSTQUALI,WH Gold existing,288.577149
AL,COM_CONSTQUALI,WH Silver existing,337.523426
AL,COM_EXTORN,Extensive ornamentation,240.050274
AL,COM_EXTORN,Extensive ornamentation and LPS,286.737221
AL,COM_EXTORN,Large signs,274.782361
AL,COM_EXTORN,Large signs and LPS,244.343848
AL,COM_EXTORN,Lightning protection,265.765496
AL,COM_FOUNDSYS,Bolted,374.327118
AL,COM_FOUNDSYS,Engineered,361.006235
AL,COM_FOUNDSYS,Unbolted,378.92094
AL,COM_GARAGING,Attached garage,367.335876
AL,COM_GARAGING,Detached garage,360.615838
AL,COM_GARAGING,No garage,372.055352
AL,COM_MECHGROUND,Generally unprotected,161.384793
AL,COM_MECHGROUND,Generally protected,159.194775
AL,COM_RESISTOPEN,Pressure small missile rated,320.733807
AL,COM_RESISTOPEN,Pressure medium missile rated,316.361536
AL,COM_RESISTOPEN,All openings pressure small missile rated,333.17919
AL,COM_RESISTOPEN,All openings pressure medium missile rated,319.68274
AL,COM_RESISTOPEN,All openings pressure large missile rated,323.642694
AL,COM_ROOFAGE,0 to 5 years,544.505734
AL,COM_ROOFAGE,6 to 10 years,561.597736
AL,COM_ROOFAGE,11 years or more,557.84898
AL,COM_ROOFANCH,Clips,183.724278
AL,COM_ROOFANCH,Double wraps,178.97333
AL,COM_ROOFANCH,Single wraps,182.61003
AL,COM_ROOFANCH,Structural,167.768762
AL,COM_ROOFANCH,Toenailing no anchorage,174.217795
AL,COM_ROOFEQUIP,No equipment present,243.734229
AL,COM_ROOFEQUIP,Roof mounted photovoltaic array,244.143178
AL,COM_ROOFEQUIP,Roof mounted impact resistant array,235.7764
AL,COM_ROOFEQUIP,Roof mounted mechanically attached array,244.484411
AL,COM_ROOFGEOM,Complex roof,331.375812
AL,COM_ROOFGEOM,Flat roof no parapets,309.691288
AL,COM_ROOFGEOM,Flat roof parapets,302.898365
AL,COM_ROOFGEOM,Gable roof LE6:12,294.132242
AL,COM_ROOFGEOM,Braced gable LE6:12,285.744594
AL,COM_ROOFGEOM,Gable roof GT6:12,303.027596
AL,COM_ROOFGEOM,Braced gable GT6:12,314.302273
AL,COM_ROOFGEOM,Hip roof LE6:12,292.300675
AL,COM_ROOFGEOM,Hip roof GT6:12,306.421854
AL,COM_ROOFMAINT,Excellent condition,177.296585
AL,COM_ROOFMAINT,No deterioration or defects,172.037019
AL,COM_ROOFMAINT,Visible defects,182.531008
AL,COM_ROOFMAINT,Significant signs of distress,172.774566
AL,COM_ROOFSYS,Built up or single ply,330.826616
AL,COM_ROOFSYS,Built up with gutters,344.407937
AL,COM_ROOFSYS,Built up without gutters,310.282744
AL,COM_ROOFSYS,Built up unknown gutters,322.878015
AL,COM_ROOFSYS,High wind shingle,313.2129
AL,COM_ROOFSYS,High wind shingle plus SWR,337.154715
AL,COM_ROOFSYS,Normal shingle,307.832974
AL,COM_ROOFSYS,Normal shingle plus SWR,352.512164
AL,COM_ROOFSYS,Metal concealed fasteners,344.817628
AL,COM_ROOFSYS,Metal exposed fasteners,339.67265
