modifer,name
Unknown,Unknown
ARCHITECT,Residential Exterior
CLADRATE,Roof Sheathing Attachment
CLADSYS,Cladding Type
CONSTQUALI,Construction Quality
EXTORN,Commercial   Exterior
FOUNDSYS,Frame-Foundation Connection
GARAGING,Garaging
MECHGROUND,Ground-Level Equipment
RESISTOPEN,Opening Protection
ROOFAGE,Roof Age
ROOFANCH,Roof Anchor
ROOFEQUIP,Rooftop Equipment
ROOFGEOM,Roof Geometry
ROOFMAINT,Roof Condition
ROOFSYS,Roof covering
TODMGPROVISION,Damage Provision
TOFLASHING,Flashing and Coping Quality
TREEDENSITY,Tree Density
