State,Peril,LossPersp,Commercial,Personal,Total
US,IF,GR,1803.0,2483.0,4281.0
US,IF,GU,2025.0,2788.0,4814.0
US,PF,GR,5887.0,7867.0,13755.0
US,PF,GU,6751.0,9017.0,15768.0
US,SU,GR,10968.0,14756.0,25722.0
US,SU,GU,13242.0,17822.0,31063.0
US,TC,GR,22722.0,32595.0,55320.0
US,TC,GU,29479.0,42328.0,71805.0
FL,TC,GU,7881.0,12767.0,20648.0
FL,TC,GR,5935.0,9614.0,15549.0
FL,SU,GU,3531.0,4484.0,8015.0
FL,SU,GR,3031.0,3849.0,6879.0
FL,PF,GU,1271.0,1835.0,3106.0
FL,PF,GR,1115.0,1610.0,2725.0
FL,IF,GU,263.0,413.0,675.0
FL,IF,GR,236.0,371.0,606.0
TX,TC,GU,8499.0,11072.0,19571.0
TX,TC,GR,6588.0,8582.0,15170.0
TX,SU,GU,3449.0,4446.0,7895.0
TX,SU,GR,2775.0,3578.0,6352.0
TX,PF,GU,2132.0,2652.0,4784.0
TX,PF,GR,1855.0,2308.0,4163.0
TX,IF,GU,532.0,690.0,1222.0
TX,IF,GR,462.0,599.0,1060.0
LA,TC,GU,1777.0,2916.0,4693.0
LA,TC,GR,1426.0,2340.0,3766.0
LA,SU,GU,1141.0,1469.0,2610.0
LA,SU,GR,962.0,1238.0,2200.0
LA,PF,GU,465.0,627.0,1092.0
LA,PF,GR,394.0,532.0,926.0
LA,IF,GU,124.0,161.0,285.0
LA,IF,GR,111.0,145.0,256.0
NC,TC,GU,2921.0,3684.0,6606.0
NC,TC,GR,2309.0,2912.0,5222.0
NC,SU,GU,981.0,1327.0,2308.0
NC,SU,GR,789.0,1067.0,1856.0
NC,PF,GU,480.0,677.0,1157.0
NC,PF,GR,410.0,579.0,989.0
NC,IF,GU,206.0,252.0,458.0
NC,IF,GR,181.0,221.0,401.0
SC,TC,GU,963.0,1434.0,2397.0
SC,TC,GR,735.0,1096.0,1831.0
SC,SU,GU,443.0,600.0,1043.0
SC,SU,GR,374.0,506.0,880.0
SC,PF,GU,239.0,341.0,580.0
SC,PF,GR,217.0,309.0,526.0
SC,IF,GU,59.0,97.0,156.0
SC,IF,GR,51.0,84.0,135.0
GA,TC,GU,1401.0,1960.0,3361.0
GA,TC,GR,1056.0,1477.0,2533.0
GA,SU,GU,352.0,549.0,900.0
GA,SU,GR,294.0,459.0,753.0
GA,PF,GU,363.0,523.0,886.0
GA,PF,GR,313.0,451.0,764.0
GA,IF,GU,127.0,184.0,312.0
GA,IF,GR,110.0,159.0,269.0
VA,TC,GU,1115.0,1315.0,2429.0
VA,TC,GR,905.0,1067.0,1972.0
VA,SU,GU,392.0,587.0,979.0
VA,SU,GR,337.0,504.0,841.0
VA,PF,GU,332.0,426.0,758.0
VA,PF,GR,291.0,373.0,664.0
VA,IF,GU,91.0,144.0,235.0
VA,IF,GR,85.0,135.0,220.0
NY,TC,GU,1970.0,3017.0,4986.0
NY,TC,GR,1506.0,2307.0,3814.0
NY,SU,GU,1188.0,1836.0,3023.0
NY,SU,GR,1009.0,1559.0,2568.0
NY,PF,GU,682.0,874.0,1556.0
NY,PF,GR,596.0,764.0,1360.0
NY,IF,GU,291.0,390.0,681.0
NY,IF,GR,266.0,357.0,622.0
NJ,TC,GU,794.0,1128.0,1922.0
NJ,TC,GR,591.0,840.0,1431.0
NJ,SU,GU,667.0,977.0,1644.0
NJ,SU,GR,527.0,773.0,1300.0
NJ,PF,GU,283.0,380.0,663.0
NJ,PF,GR,241.0,323.0,564.0
NJ,IF,GU,143.0,193.0,336.0
NJ,IF,GR,127.0,171.0,298.0
MA,TC,GU,650.0,1061.0,1711.0
MA,TC,GR,530.0,866.0,1396.0
MA,SU,GU,350.0,439.0,789.0
MA,SU,GR,275.0,345.0,620.0
MA,PF,GU,166.0,229.0,395.0
MA,PF,GR,152.0,211.0,363.0
MA,IF,GU,68.0,94.0,162.0
MA,IF,GR,60.0,83.0,142.0
CT,TC,GU,259.0,355.0,614.0
CT,TC,GR,201.0,275.0,476.0
CT,SU,GU,127.0,157.0,285.0
CT,SU,GR,109.0,134.0,243.0
CT,PF,GU,61.0,82.0,143.0
CT,PF,GR,51.0,69.0,121.0
CT,IF,GU,26.0,39.0,65.0
CT,IF,GR,24.0,35.0,59.0
AL,TC,GU,849.0,1069.0,1918.0
AL,TC,GR,636.0,801.0,1437.0
AL,SU,GU,393.0,596.0,989.0
AL,SU,GR,307.0,466.0,774.0
AL,PF,GU,171.0,247.0,417.0
AL,PF,GR,155.0,224.0,379.0
AL,IF,GU,58.0,86.0,144.0
AL,IF,GR,55.0,81.0,136.0
MS,TC,GU,400.0,550.0,949.0
MS,TC,GR,304.0,418.0,723.0
MS,SU,GU,228.0,355.0,583.0
MS,SU,GR,179.0,278.0,456.0
MS,PF,GU,106.0,124.0,231.0
MS,PF,GR,97.0,114.0,211.0
MS,IF,GU,37.0,45.0,83.0
MS,IF,GR,35.0,42.0,77.0
