State,LossPerspective,EPType,Peril,LOB,RP,Loss
US,GR,AEP,IF,Commercial,5,1796.0
US,GR,AEP,IF,Commercial,10,2617.0
US,GR,AEP,IF,Commercial,20,3670.0
US,GR,AEP,IF,Commercial,25,3945.0
US,GR,AEP,IF,Commercial,50,4878.0
US,GR,AEP,IF,Commercial,100,6055.0
US,GR,AEP,IF,Commercial,200,6958.0
US,GR,AEP,IF,Commercial,250,7284.0
US,GR,AEP,IF,Commercial,500,8362.0
US,GR,AEP,IF,Commercial,1000,9330.0
US,GR,AEP,IF,Personal,5,2415.0
US,GR,AEP,IF,Personal,10,3654.0
US,GR,AEP,IF,Personal,20,4901.0
US,GR,AEP,IF,Personal,25,5533.0
US,GR,AEP,IF,Personal,50,6716.0
US,GR,AEP,IF,Personal,100,8193.0
US,GR,AEP,IF,Personal,200,9623.0
US,GR,AEP,IF,Personal,250,10076.0
US,GR,AEP,IF,Personal,500,11518.0
US,GR,AEP,IF,Personal,1000,13184.0
US,GR,AEP,IF,Total,5,4214.0
US,GR,AEP,IF,Total,10,6272.0
US,GR,AEP,IF,Total,20,8573.0
US,GR,AEP,IF,Total,25,9480.0
US,GR,AEP,IF,Total,50,11596.0
US,GR,AEP,IF,Total,100,14248.0
US,GR,AEP,IF,Total,200,16582.0
US,GR,AEP,IF,Total,250,17360.0
US,GR,AEP,IF,Total,500,19881.0
US,GR,AEP,IF,Total,1000,22512.0
US,GR,AEP,PF,Commercial,5,6535.0
US,GR,AEP,PF,Commercial,10,10566.0
US,GR,AEP,PF,Commercial,20,14741.0
US,GR,AEP,PF,Commercial,25,15753.0
US,GR,AEP,PF,Commercial,50,20701.0
US,GR,AEP,PF,Commercial,100,26038.0
US,GR,AEP,PF,Commercial,200,30187.0
US,GR,AEP,PF,Commercial,250,33304.0
US,GR,AEP,PF,Commercial,500,38565.0
US,GR,AEP,PF,Commercial,1000,43420.0
US,GR,AEP,PF,Personal,5,8691.0
US,GR,AEP,PF,Personal,10,13838.0
US,GR,AEP,PF,Personal,20,19459.0
US,GR,AEP,PF,Personal,25,21744.0
US,GR,AEP,PF,Personal,50,28051.0
US,GR,AEP,PF,Personal,100,34746.0
US,GR,AEP,PF,Personal,200,41345.0
US,GR,AEP,PF,Personal,250,42936.0
US,GR,AEP,PF,Personal,500,51701.0
US,GR,AEP,PF,Personal,1000,58505.0
US,GR,AEP,PF,Total,5,15224.0
US,GR,AEP,PF,Total,10,24404.0
US,GR,AEP,PF,Total,20,34198.0
US,GR,AEP,PF,Total,25,37496.0
US,GR,AEP,PF,Total,50,48754.0
US,GR,AEP,PF,Total,100,60784.0
US,GR,AEP,PF,Total,200,71534.0
US,GR,AEP,PF,Total,250,76241.0
US,GR,AEP,PF,Total,500,90268.0
US,GR,AEP,PF,Total,1000,101927.0
US,GR,AEP,SU,Commercial,5,16403.0
US,GR,AEP,SU,Commercial,10,29455.0
US,GR,AEP,SU,Commercial,20,45084.0
US,GR,AEP,SU,Commercial,25,50947.0
US,GR,AEP,SU,Commercial,50,71345.0
US,GR,AEP,SU,Commercial,100,90950.0
US,GR,AEP,SU,Commercial,200,114794.0
US,GR,AEP,SU,Commercial,250,123912.0
US,GR,AEP,SU,Commercial,500,151276.0
US,GR,AEP,SU,Commercial,1000,181957.0
US,GR,AEP,SU,Personal,5,22155.0
US,GR,AEP,SU,Personal,10,40068.0
US,GR,AEP,SU,Personal,20,61502.0
US,GR,AEP,SU,Personal,25,70369.0
US,GR,AEP,SU,Personal,50,95124.0
US,GR,AEP,SU,Personal,100,126574.0
US,GR,AEP,SU,Personal,200,158454.0
US,GR,AEP,SU,Personal,250,169689.0
US,GR,AEP,SU,Personal,500,206630.0
US,GR,AEP,SU,Personal,1000,237808.0
US,GR,AEP,SU,Total,5,38559.0
US,GR,AEP,SU,Total,10,69522.0
US,GR,AEP,SU,Total,20,106587.0
US,GR,AEP,SU,Total,25,121315.0
US,GR,AEP,SU,Total,50,166471.0
US,GR,AEP,SU,Total,100,217524.0
US,GR,AEP,SU,Total,200,273248.0
US,GR,AEP,SU,Total,250,293601.0
US,GR,AEP,SU,Total,500,357906.0
US,GR,AEP,SU,Total,1000,419767.0
US,GR,AEP,TC,Commercial,5,37426.0
US,GR,AEP,TC,Commercial,10,73847.0
US,GR,AEP,TC,Commercial,20,119455.0
US,GR,AEP,TC,Commercial,25,135250.0
US,GR,AEP,TC,Commercial,50,192693.0
US,GR,AEP,TC,Commercial,100,253592.0
US,GR,AEP,TC,Commercial,200,331551.0
US,GR,AEP,TC,Commercial,250,359983.0
US,GR,AEP,TC,Commercial,500,440893.0
US,GR,AEP,TC,Commercial,1000,529951.0
US,GR,AEP,TC,Personal,5,54671.0
US,GR,AEP,TC,Personal,10,104567.0
US,GR,AEP,TC,Personal,20,172887.0
US,GR,AEP,TC,Personal,25,194603.0
US,GR,AEP,TC,Personal,50,276399.0
US,GR,AEP,TC,Personal,100,366789.0
US,GR,AEP,TC,Personal,200,467999.0
US,GR,AEP,TC,Personal,250,512694.0
US,GR,AEP,TC,Personal,500,629182.0
US,GR,AEP,TC,Personal,1000,776019.0
US,GR,AEP,TC,Total,5,92097.0
US,GR,AEP,TC,Total,10,178415.0
US,GR,AEP,TC,Total,20,292344.0
US,GR,AEP,TC,Total,25,329852.0
US,GR,AEP,TC,Total,50,469094.0
US,GR,AEP,TC,Total,100,620380.0
US,GR,AEP,TC,Total,200,799553.0
US,GR,AEP,TC,Total,250,872676.0
US,GR,AEP,TC,Total,500,1070073.0
US,GR,AEP,TC,Total,1000,1305971.0
US,GR,OEP,IF,Commercial,5,1587.0
US,GR,OEP,IF,Commercial,10,2410.0
US,GR,OEP,IF,Commercial,20,3270.0
US,GR,OEP,IF,Commercial,25,3539.0
US,GR,OEP,IF,Commercial,50,4421.0
US,GR,OEP,IF,Commercial,100,5178.0
US,GR,OEP,IF,Commercial,200,6181.0
US,GR,OEP,IF,Commercial,250,6424.0
US,GR,OEP,IF,Commercial,500,7485.0
US,GR,OEP,IF,Commercial,1000,8478.0
US,GR,OEP,IF,Personal,5,2178.0
US,GR,OEP,IF,Personal,10,3296.0
US,GR,OEP,IF,Personal,20,4438.0
US,GR,OEP,IF,Personal,25,4843.0
US,GR,OEP,IF,Personal,50,5999.0
US,GR,OEP,IF,Personal,100,7135.0
US,GR,OEP,IF,Personal,200,8535.0
US,GR,OEP,IF,Personal,250,8977.0
US,GR,OEP,IF,Personal,500,10409.0
US,GR,OEP,IF,Personal,1000,11525.0
US,GR,OEP,IF,Total,5,3766.0
US,GR,OEP,IF,Total,10,5703.0
US,GR,OEP,IF,Total,20,7707.0
US,GR,OEP,IF,Total,25,8381.0
US,GR,OEP,IF,Total,50,10421.0
US,GR,OEP,IF,Total,100,12314.0
US,GR,OEP,IF,Total,200,14717.0
US,GR,OEP,IF,Total,250,15401.0
US,GR,OEP,IF,Total,500,17893.0
US,GR,OEP,IF,Total,1000,20005.0
US,GR,OEP,PF,Commercial,5,5835.0
US,GR,OEP,PF,Commercial,10,9377.0
US,GR,OEP,PF,Commercial,20,13065.0
US,GR,OEP,PF,Commercial,25,14457.0
US,GR,OEP,PF,Commercial,50,18726.0
US,GR,OEP,PF,Commercial,100,22832.0
US,GR,OEP,PF,Commercial,200,27543.0
US,GR,OEP,PF,Commercial,250,28903.0
US,GR,OEP,PF,Commercial,500,33890.0
US,GR,OEP,PF,Commercial,1000,39431.0
US,GR,OEP,PF,Personal,5,7675.0
US,GR,OEP,PF,Personal,10,12572.0
US,GR,OEP,PF,Personal,20,17577.0
US,GR,OEP,PF,Personal,25,19458.0
US,GR,OEP,PF,Personal,50,25087.0
US,GR,OEP,PF,Personal,100,31014.0
US,GR,OEP,PF,Personal,200,36314.0
US,GR,OEP,PF,Personal,250,39544.0
US,GR,OEP,PF,Personal,500,45268.0
US,GR,OEP,PF,Personal,1000,51187.0
US,GR,OEP,PF,Total,5,13509.0
US,GR,OEP,PF,Total,10,21949.0
US,GR,OEP,PF,Total,20,30643.0
US,GR,OEP,PF,Total,25,33916.0
US,GR,OEP,PF,Total,50,43813.0
US,GR,OEP,PF,Total,100,53848.0
US,GR,OEP,PF,Total,200,63858.0
US,GR,OEP,PF,Total,250,68448.0
US,GR,OEP,PF,Total,500,79159.0
US,GR,OEP,PF,Total,1000,90619.0
US,GR,OEP,SU,Commercial,5,14725.0
US,GR,OEP,SU,Commercial,10,26406.0
US,GR,OEP,SU,Commercial,20,41621.0
US,GR,OEP,SU,Commercial,25,45666.0
US,GR,OEP,SU,Commercial,50,64533.0
US,GR,OEP,SU,Commercial,100,84255.0
US,GR,OEP,SU,Commercial,200,104362.0
US,GR,OEP,SU,Commercial,250,112969.0
US,GR,OEP,SU,Commercial,500,137485.0
US,GR,OEP,SU,Commercial,1000,161751.0
US,GR,OEP,SU,Personal,5,19941.0
US,GR,OEP,SU,Personal,10,36187.0
US,GR,OEP,SU,Personal,20,55987.0
US,GR,OEP,SU,Personal,25,62299.0
US,GR,OEP,SU,Personal,50,85385.0
US,GR,OEP,SU,Personal,100,113775.0
US,GR,OEP,SU,Personal,200,139463.0
US,GR,OEP,SU,Personal,250,147912.0
US,GR,OEP,SU,Personal,500,184159.0
US,GR,OEP,SU,Personal,1000,221707.0
US,GR,OEP,SU,Total,5,34667.0
US,GR,OEP,SU,Total,10,62593.0
US,GR,OEP,SU,Total,20,97609.0
US,GR,OEP,SU,Total,25,107966.0
US,GR,OEP,SU,Total,50,149916.0
US,GR,OEP,SU,Total,100,198029.0
US,GR,OEP,SU,Total,200,243826.0
US,GR,OEP,SU,Total,250,260883.0
US,GR,OEP,SU,Total,500,321641.0
US,GR,OEP,SU,Total,1000,383456.0
US,GR,OEP,TC,Commercial,5,34550.0
US,GR,OEP,TC,Commercial,10,65910.0
US,GR,OEP,TC,Commercial,20,107674.0
US,GR,OEP,TC,Commercial,25,118837.0
US,GR,OEP,TC,Commercial,50,170038.0
US,GR,OEP,TC,Commercial,100,233828.0
US,GR,OEP,TC,Commercial,200,295647.0
US,GR,OEP,TC,Commercial,250,322536.0
US,GR,OEP,TC,Commercial,500,391343.0
US,GR,OEP,TC,Commercial,1000,474477.0
US,GR,OEP,TC,Personal,5,48715.0
US,GR,OEP,TC,Personal,10,96525.0
US,GR,OEP,TC,Personal,20,151457.0
US,GR,OEP,TC,Personal,25,171352.0
US,GR,OEP,TC,Personal,50,244265.0
US,GR,OEP,TC,Personal,100,328737.0
US,GR,OEP,TC,Personal,200,422848.0
US,GR,OEP,TC,Personal,250,455775.0
US,GR,OEP,TC,Personal,500,566219.0
US,GR,OEP,TC,Personal,1000,667066.0
US,GR,OEP,TC,Total,5,83266.0
US,GR,OEP,TC,Total,10,162436.0
US,GR,OEP,TC,Total,20,259133.0
