LOCNUM,LOCNAME,STATECODE,COUNTY,CC_OCC_HT_YB_FA,HDv1,RLv25,Classification,Description
1,vulsens_0001,CA,IL_COUNTY,RMS_KEY_CC_MH,1048.027305,925.705249,OCC,Unk
2,vulsens_0002,NY,TX_COUNTY,RMS_KEY_FA_SFD_5000,421.719184,318.739052,HT_COM,2000
3,vulsens_0003,AL,AZ_COUNTY,RMS_KEY_HT_COM_7,297.629336,172.540156,OCC,7
4,vulsens_0004,MD,NY_COUNTY,RMS_KEY_CC_RC,761.8101,264.68566,CC_COM,3
5,vulsens_0005,CO,AL_COUNTY,RMS_KEY_HT_SFD_Unk,388.425576,500.722514,HT_SFD,Steel
6,vulsens_0006,MD,MN_COUNTY,RMS_KEY_CC_COM_Unk,319.283672,204.344459,CC,1000
7,vulsens_0007,AL,CO_COUNTY,RMS_KEY_FA_COM_Unk,414.056811,523.756167,YB,Unk
8,vulsens_0008,AZ,MN_COUNTY,RMS_KEY_HT_COM_10,327.592674,389.402984,CC,Masonry
9,vulsens_0009,NY,FL_COUNTY,RMS_KEY_FA_SFD_Unk,626.257888,540.823883,FA_COM,30000
10,vulsens_0010,NY,CO_COUNTY,RMS_KEY_CC_COM_Masonry,339.08503,729.575871,HT_COM,15000
11,vulsens_0011,NY,CA_COUNTY,RMS_KEY_CC_RC,576.575067,644.242325,OCC,LM
12,vulsens_0012,CO,AL_COUNTY,RMS_KEY_CC_COM_Masonry,434.601845,956.704485,CC_COM,Auto
13,vulsens_0013,MD,MN_COUNTY,RMS_KEY_OCC_COM,364.56602,235.860066,FA_COM,Wood
14,vulsens_0014,MN,MN_COUNTY,RMS_KEY_YB_2000,1029.936609,267.405501,YB,15
15,vulsens_0015,CA,FL_COUNTY,RMS_KEY_CC_RC,350.650456,539.287745,YB,<1995
16,vulsens_0016,CA,MD_COUNTY,RMS_KEY_YB_2000,203.25892,225.368962,HT_COM,3000
