"LocationID","LocationName","State","County","CC_OCC_HT_YT_FA","v13","v12","Classification","Description","Region"
1,"vulsens_AZ_1","AZ","AZ_County","AIR_KEY_CC_Auto",475,589,"CC","Auto","West"
2,"vulsens_AZ_2","AZ","AZ_County","AIR_KEY_CC_Auto",497,371,"CC","Auto","West"
3,"vulsens_AZ_3","AZ","AZ_County","AIR_KEY_CC_MH",488,238,"CC","MH","West"
4,"vulsens_AZ_4","AZ","AZ_County","AIR_KEY_CC_MH",761,570,"CC","MH","West"
5,"vulsens_AZ_5","AZ","AZ_County","AIR_KEY_CC_LM",247,194,"CC","LM","West"
6,"vulsens_AZ_6","AZ","AZ_County","AIR_KEY_CC_LM",210,185,"CC","LM","West"
7,"vulsens_AZ_7","AZ","AZ_County","AIR_KEY_CC_Wood",452,432,"CC","Wood","West"
8,"vulsens_AZ_8","AZ","AZ_County","AIR_KEY_CC_Wood",596,572,"CC","Wood","West"
9,"vulsens_AZ_9","AZ","AZ_County","AIR_KEY_CC_Unk",191,127,"CC","Unk","West"
10,"vulsens_AZ_10","AZ","AZ_County","AIR_KEY_CC_Unk",380,302,"CC","Unk","West"
11,"vulsens_AZ_11","AZ","AZ_County","AIR_KEY_CC_Masonry",953,471,"CC","Masonry","West"
12,"vulsens_AZ_12","AZ","AZ_County","AIR_KEY_CC_Masonry",470,483,"CC","Masonry","West"
13,"vulsens_AZ_13","AZ","AZ_County","AIR_KEY_CC_Steel",296,376,"CC","Steel","West"
14,"vulsens_AZ_14","AZ","AZ_County","AIR_KEY_CC_Steel",149,202,"CC","Steel","West"
15,"vulsens_AZ_15","AZ","AZ_County","AIR_KEY_CC_RC",421,404,"CC","RC","West"
16,"vulsens_AZ_16","AZ","AZ_County","AIR_KEY_CC_RC",400,261,"CC","RC","West"
17,"vulsens_AZ_17","AZ","AZ_County","AIR_KEY_CC_COM_Auto",366,506,"CC_COM","Auto","West"
18,"vulsens_AZ_18","AZ","AZ_County","AIR_KEY_CC_COM_Auto",528,670,"CC_COM","Auto","West"
19,"vulsens_AZ_19","AZ","AZ_County","AIR_KEY_CC_COM_MH",331,311,"CC_COM","MH","West"
20,"vulsens_AZ_20","AZ","AZ_County","AIR_KEY_CC_COM_MH",725,673,"CC_COM","MH","West"
21,"vulsens_AZ_21","AZ","AZ_County","AIR_KEY_CC_COM_LM",695,480,"CC_COM","LM","West"
22,"vulsens_AZ_22","AZ","AZ_County","AIR_KEY_CC_COM_LM",422,339,"CC_COM","LM","West"
23,"vulsens_AZ_23","AZ","AZ_County","AIR_KEY_CC_COM_Wood",228,167,"CC_COM","Wood","West"
24,"vulsens_AZ_24","AZ","AZ_County","AIR_KEY_CC_COM_Wood",705,585,"CC_COM","Wood","West"
25,"vulsens_AZ_25","AZ","AZ_County","AIR_KEY_CC_COM_Unk",254,259,"CC_COM","Unk","West"
26,"vulsens_AZ_26","AZ","AZ_County","AIR_KEY_CC_COM_Unk",193,287,"CC_COM","Unk","West"
27,"vulsens_AZ_27","AZ","AZ_County","AIR_KEY_CC_COM_Masonry",622,537,"CC_COM","Masonry","West"
28,"vulsens_AZ_28","AZ","AZ_County","AIR_KEY_CC_COM_Masonry",698,948,"CC_COM","Masonry","West"
29,"vulsens_AZ_29","AZ","AZ_County","AIR_KEY_CC_COM_Steel",640,576,"CC_COM","Steel","West"
30,"vulsens_AZ_30","AZ","AZ_County","AIR_KEY_CC_COM_Steel",191,204,"CC_COM","Steel","West"
