"LOCNUM","LOCNAME","STATECODE","COUNTY","CC_OCC_HT_YB_FA","HDv1","RLv25","Classification","Description"
1,"vulsens_AK_1","AK","AK_COUNTY","RMS_KEY_CC_Auto",823,460,"CC","Auto"
2,"vulsens_AK_2","AK","AK_COUNTY","RMS_KEY_CC_Auto",368,381,"CC","Auto"
3,"vulsens_AK_3","AK","AK_COUNTY","RMS_KEY_CC_MH",473,446,"CC","MH"
4,"vulsens_AK_4","AK","AK_COUNTY","RMS_KEY_CC_MH",563,453,"CC","MH"
5,"vulsens_AK_5","AK","AK_COUNTY","RMS_KEY_CC_LM",306,142,"CC","LM"
6,"vulsens_AK_6","AK","AK_COUNTY","RMS_KEY_CC_LM",223,278,"CC","LM"
7,"vulsens_AK_7","AK","AK_COUNTY","RMS_KEY_CC_Wood",367,400,"CC","Wood"
8,"vulsens_AK_8","AK","AK_COUNTY","RMS_KEY_CC_Wood",982,748,"CC","Wood"
9,"vulsens_AK_9","AK","AK_COUNTY","RMS_KEY_CC_Unk",136,156,"CC","Unk"
10,"vulsens_AK_10","AK","AK_COUNTY","RMS_KEY_CC_Unk",742,514,"CC","Unk"
11,"vulsens_AK_11","AK","AK_COUNTY","RMS_KEY_CC_Masonry",570,513,"CC","Masonry"
12,"vulsens_AK_12","AK","AK_COUNTY","RMS_KEY_CC_Masonry",650,345,"CC","Masonry"
13,"vulsens_AK_13","AK","AK_COUNTY","RMS_KEY_CC_Steel",612,261,"CC","Steel"
14,"vulsens_AK_14","AK","AK_COUNTY","RMS_KEY_CC_Steel",299,183,"CC","Steel"
15,"vulsens_AK_15","AK","AK_COUNTY","RMS_KEY_CC_RC",867,547,"CC","RC"
16,"vulsens_AK_16","AK","AK_COUNTY","RMS_KEY_CC_RC",466,357,"CC","RC"
17,"vulsens_AK_17","AK","AK_COUNTY","RMS_KEY_CC_COM_Auto",737,450,"CC_COM","Auto"
18,"vulsens_AK_18","AK","AK_COUNTY","RMS_KEY_CC_COM_Auto",870,467,"CC_COM","Auto"
19,"vulsens_AK_19","AK","AK_COUNTY","RMS_KEY_CC_COM_MH",518,400,"CC_COM","MH"
20,"vulsens_AK_20","AK","AK_COUNTY","RMS_KEY_CC_COM_MH",523,463,"CC_COM","MH"
21,"vulsens_AK_21","AK","AK_COUNTY","RMS_KEY_CC_COM_LM",652,641,"CC_COM","LM"
22,"vulsens_AK_22","AK","AK_COUNTY","RMS_KEY_CC_COM_LM",356,191,"CC_COM","LM"
23,"vulsens_AK_23","AK","AK_COUNTY","RMS_KEY_CC_COM_Wood",259,177,"CC_COM","Wood"
